DATA_ACIONA;FX_ATRASO;ACIONAMENTOS;CPC;CPCA;PROMESSA;VALORPRIN_FIN
2025-09-01;Menor 0;2;2;0;0;260.58
2025-09-01;0-30;32;17;9;4;1885.71
2025-09-01;31-60;4;2;1;0;117.18
2025-09-01;61-90;2;0;0;0;3835.7999999999997
2025-09-01;91-120;9;1;1;0;18682.87
2025-09-01;121-150;20;1;1;0;40910.15
2025-09-01;151-180;11;2;2;1;11582.170000000002
2025-09-01;181-360;170;17;8;3;252528.27
2025-09-01;361-720;228;33;17;8;373839.41000000003
2025-09-01;Maior 720;31;0;0;0;135192.16999999998
2025-09-02;Menor 0;0;0;0;0;0.0
2025-09-02;0-30;24;20;14;5;2507.4300000000003
2025-09-02;31-60;0;0;0;0;0.0
2025-09-02;61-90;0;0;0;0;0.0
2025-09-02;91-120;4;4;3;1;400.45000000000005
2025-09-02;121-150;11;4;3;1;1518.82
2025-09-02;151-180;11;2;2;1;1156.6000000000001
2025-09-02;181-360;132;38;27;12;46937.34
2025-09-02;361-720;36;3;3;1;16545.07
2025-09-02;Maior 720;0;0;0;0;0.0
2025-09-03;Menor 0;2;2;0;0;218.09
2025-09-03;0-30;14;12;9;4;1207.38
2025-09-03;31-60;2;2;2;0;191.09
2025-09-03;61-90;0;0;0;0;0.0
2025-09-03;91-120;10;5;5;2;8567.26
2025-09-03;121-150;9;3;3;0;9239.4
2025-09-03;151-180;5;3;3;3;3402.4100000000003
2025-09-03;181-360;98;11;5;3;78665.98
2025-09-03;361-720;215;23;22;9;264012.18
2025-09-03;Maior 720;9;0;0;0;16452.36
2025-09-04;Menor 0;0;0;0;0;0.0
2025-09-04;0-30;19;17;11;5;1805.0900000000001
2025-09-04;31-60;4;4;1;0;170.44
2025-09-04;61-90;19;0;0;0;10793.34
2025-09-04;91-120;150;3;0;0;92364.76
2025-09-04;121-150;47;7;6;3;20386.739999999998
2025-09-04;151-180;43;4;2;2;29356.719999999998
2025-09-04;181-360;188;33;23;14;82612.66
2025-09-04;361-720;155;50;43;23;69501.01
2025-09-04;Maior 720;2;0;0;0;793.6300000000001
2025-09-05;Menor 0;0;0;0;0;0.0
2025-09-05;0-30;28;15;10;2;1829.91
2025-09-05;31-60;5;4;4;3;494.30999999999995
