DATA_ACIONA;FX_ATRASO;ORIGEM;ACIONAMENTOS;VALORPRIN_FIN_ACIONAMENTOS;CPC;VALORPRIN_FIN_CPC;CPCA;VALORPRIN_FIN_CPCA;PROMESSA;VALORPRIN_FIN_PROMESSA;nr_dia_util;quartil;dt_mes;mes_abreviado
2025-09-01;0-30;Humano;1;104,21000000000001;1;104,21000000000001;1;104,21000000000001;1;104,21000000000001;1;Q3;9;Set
2025-09-01;0-30;Robô;7;462,55;3;192,44;1;79,9;0;0,0;1;Q3;9;Set
2025-09-01;31-60;Robô;1;56,26;1;56,26;1;56,26;0;0,0;1;Q3;9;Set
2025-09-01;91-120;Robô;4;9501,47;0;0,0;0;0,0;0;0,0;1;Q3;9;Set
2025-09-01;121-150;Humano;3;2231,28;1;159,8;1;159,8;0;0,0;1;Q3;9;Set
2025-09-01;121-150;Robô;8;11396,36;1;159,8;1;159,8;0;0,0;1;Q3;9;Set
2025-09-01;151-180;Humano;6;3864,84;1;64,98;1;64,98;0;0,0;1;Q3;9;Set
2025-09-01;151-180;Robô;5;7682,750000000001;0;0,0;0;0,0;0;0,0;1;Q3;9;Set
2025-09-01;181-360;Humano;87;72181,51;17;4365,5;7;2653,81;3;329,4;1;Q3;9;Set
2025-09-01;361-720;Humano;150;176692,94;34;14521,869999999999;17;4721,58;8;487,04999999999995;1;Q3;9;Set
2025-09-02;0-30;Humano;1;521,59;0;0,0;0;0,0;0;0,0;2;Q3;9;Set
2025-09-02;0-30;Robô;9;731,1800000000001;8;571,38;7;541,48;3;218,04;2;Q3;9;Set
2025-09-02;121-150;Humano;10;1518,54;4;419,46000000000004;3;417,54;1;159,8;2;Q3;9;Set
2025-09-02;121-150;Robô;5;1296,54;2;257,74;2;257,74;0;0,0;2;Q3;9;Set
2025-09-02;151-180;Humano;10;952,58;1;175,78000000000003;1;175,78000000000003;1;175,78000000000003;2;Q3;9;Set
2025-09-02;151-180;Robô;8;1001,8800000000001;1;175,78000000000003;1;175,78000000000003;1;175,78000000000003;2;Q3;9;Set
2025-09-02;181-360;Humano;132;47017,24;38;9960,21;27;6901,42;12;1794,63;2;Q3;9;Set
2025-09-02;361-720;Humano;36;16545,07;3;4215,51;3;4215,51;1;516,07;2;Q3;9;Set
