DATA;FX_ATRASO;ORIGEM;ACIONAMENTOS;VALORPRIN_FIN_ACIONAMENTOS;CPC;VALORPRIN_FIN_CPC;CPCA;VALORPRIN_FIN_CPCA;PROMESSA;VALORPRIN_FIN_PROMESSA;nr_dia_util;quartil;dt_mes;mes_abreviado
2025-09-01;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;Q3;9;Set
2025-09-01;0-30;Robô;1610,0;151088,62;1524,0;142014,2;279,0;22438,79;103,0;7527,739999999997;1;Q3;9;Set
2025-09-01;31-60;Robô;437,0;81199,40000000002;399,0;70911,95000000001;60,0;10882,93;12,0;1249,0400000000002;1;Q3;9;Set
2025-09-01;61-90;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;Q3;9;Set
2025-09-01;91-120;Robô;598,0;97407,29999999999;555,0;90580,90999999999;54,0;7793,4;11,0;1575,7599999999998;1;Q3;9;Set
2025-09-01;121-150;Robô;379,0;69682,69;337,0;62501,22;28,0;4518,59;9,0;1171,13;1;Q3;9;Set
2025-09-01;151-180;Robô;203,0;53795,04;185,0;48923,119999999995;20,0;5980,259999999999;2,0;227,2;1;Q3;9;Set
2025-09-01;181-360;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;Q3;9;Set
2025-09-01;361-720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;Q3;9;Set
2025-09-01;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;Q3;9;Set
2025-09-02;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2;Q3;9;Set
2025-09-02;0-30;Robô;2885,0;258601,8;2697,0;239169,27;473,0;37994,94;164,0;11726,48;2;Q3;9;Set
2025-09-02;31-60;Robô;846,0;150943,12;772,0;133189,87;121,0;20024,45;25,0;3034,1800000000003;2;Q3;9;Set
2025-09-02;61-90;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2;Q3;9;Set
2025-09-02;91-120;Robô;1035,0;165690,55;959,0;152064,95;92,0;12400,359999999999;22,0;2919,3900000000003;2;Q3;9;Set
2025-09-02;121-150;Robô;728,0;140882,40000000002;653,0;122917,57;70,0;11227,789999999997;25,0;2607,54;2;Q3;9;Set
2025-09-02;151-180;Robô;385,0;92782,99;351,0;82740,19;36,0;10193,919999999998;5,0;1265,9999999999998;2;Q3;9;Set
2025-09-02;181-360;Robô;1,0;59,8;0,0;0,0;0,0;0,0;0,0;0,0;2;Q3;9;Set
2025-09-02;361-720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2;Q3;9;Set
2025-09-02;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2;Q3;9;Set
2025-09-03;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-03;0-30;Robô;4083,0;366552,06000000006;3806,0;338989,88;665,0;54706,119999999995;211,0;15229,899999999998;3;Q3;9;Set
2025-09-03;31-60;Robô;1314,0;221586,95;1195,0;197520,0;191,0;29272,7;44,0;4887,650000000001;3;Q3;9;Set
2025-09-03;61-90;Robô;1,0;372,34;1,0;372,34;1,0;372,34;1,0;372,34;3;Q3;9;Set
2025-09-03;91-120;Robô;1504,0;238403,08000000002;1385,0;219288,94999999998;145,0;20315,939999999995;42,0;5025,16;3;Q3;9;Set
2025-09-03;121-150;Robô;1058,0;207412,76000000004;949,0;179598,96000000002;90,0;14912,159999999998;32,0;3887,34;3;Q3;9;Set
2025-09-03;151-180;Robô;535,0;124856,55;486,0;109713,29000000002;45,0;12108,72;5,0;1265,9999999999998;3;Q3;9;Set
2025-09-03;181-360;Robô;1,0;59,8;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-03;361-720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-03;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-04;Preventivo;Robô;1,0;79,9;1,0;79,9;1,0;79,9;0,0;0,0;4;Q3;9;Set
2025-09-04;0-30;Robô;5052,0;468927,67999999993;4698,0;429337,99;809,0;68657,08;241,0;18917,760000000002;4;Q3;9;Set
2025-09-04;31-60;Robô;1683,0;283102,68;1528,0;252751,53;244,0;37413,770000000004;53,0;6168,289999999999;4;Q3;9;Set
2025-09-04;61-90;Robô;3,0;491,94;3,0;491,94;1,0;372,34;1,0;372,34;4;Q3;9;Set
2025-09-04;91-120;Robô;1886,0;305404,98;1727,0;278852,42000000004;178,0;27509,299999999996;52,0;6556,5;4;Q3;9;Set
2025-09-04;121-150;Robô;1477,0;285525,18000000005;1340,0;253938,18;125,0;21698,87000000001;47,0;8653,259999999997;4;Q3;9;Set
2025-09-04;151-180;Robô;775,0;177836,38;706,0;158214,63999999998;72,0;18507,36;14,0;1679,3200000000002;4;Q3;9;Set
2025-09-04;181-360;Robô;915,0;192336,3;848,0;177560,25;107,0;27328,539999999997;19,0;3382,6500000000005;4;Q3;9;Set
2025-09-04;361-720;Robô;3,0;882,98;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-04;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-05;Preventivo;Robô;1,0;79,9;1,0;79,9;1,0;79,9;0,0;0,0;5;Q3;9;Set
2025-09-05;0-30;Robô;5052,0;468927,67999999993;4698,0;429337,99;809,0;68657,08;241,0;18917,760000000002;5;Q3;9;Set
2025-09-05;31-60;Robô;1683,0;283102,68;1528,0;252751,53;244,0;37413,770000000004;53,0;6168,289999999999;5;Q3;9;Set
2025-09-05;61-90;Robô;3,0;491,94;3,0;491,94;1,0;372,34;1,0;372,34;5;Q3;9;Set
2025-09-05;91-120;Robô;1886,0;305404,98;1727,0;278852,42000000004;178,0;27509,299999999996;52,0;6556,5;5;Q3;9;Set
2025-09-05;121-150;Robô;1759,0;315125,93;1599,0;281734,97000000003;153,0;24106,48;56,0;9130,62;5;Q3;9;Set
2025-09-05;151-180;Robô;778,0;177976,38;709,0;158354,63999999998;72,0;18507,36;14,0;1679,3200000000002;5;Q3;9;Set
2025-09-05;181-360;Robô;2847,0;732987,83;2612,0;666105,79;286,0;75227,71;57,0;6974,05;5;Q3;9;Set
2025-09-05;361-720;Robô;6,0;2424,7;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-05;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-06;Preventivo;Robô;1,0;79,9;1,0;79,9;1,0;79,9;0,0;0,0;5;Q3;9;Set
2025-09-06;0-30;Robô;5052,0;468927,67999999993;4698,0;429337,99;809,0;68657,08;241,0;18917,760000000002;5;Q3;9;Set
2025-09-06;31-60;Robô;1683,0;283102,68;1528,0;252751,53;244,0;37413,770000000004;53,0;6168,289999999999;5;Q3;9;Set
2025-09-06;61-90;Robô;3,0;491,94;3,0;491,94;1,0;372,34;1,0;372,34;5;Q3;9;Set
2025-09-06;91-120;Robô;1886,0;305404,98;1727,0;278852,42000000004;178,0;27509,299999999996;52,0;6556,5;5;Q3;9;Set
2025-09-06;121-150;Robô;2003,0;344556,7;1818,0;308162,97000000003;174,0;27040,339999999997;59,0;10048,119999999999;5;Q3;9;Set
2025-09-06;151-180;Robô;870,0;197396,77000000002;794,0;175893,78;80,0;19271,059999999998;15,0;1709,2200000000003;5;Q3;9;Set
2025-09-06;181-360;Robô;3639,0;973561,1;3334,0;875914,44;374,0;104697,65;68,0;8106,05;5;Q3;9;Set
2025-09-06;361-720;Robô;6,0;2424,7;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-06;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-08;Preventivo;Robô;1,0;79,9;1,0;79,9;1,0;79,9;0,0;0,0;6;Q3;9;Set
2025-09-08;0-30;Robô;5052,0;468927,67999999993;4698,0;429337,99;809,0;68657,08;241,0;18917,760000000002;6;Q3;9;Set
2025-09-08;31-60;Robô;1683,0;283102,68;1528,0;252751,53;244,0;37413,770000000004;53,0;6168,289999999999;6;Q3;9;Set
2025-09-08;61-90;Robô;3,0;491,94;3,0;491,94;1,0;372,34;1,0;372,34;6;Q3;9;Set
2025-09-08;91-120;Robô;1886,0;305404,98;1727,0;278852,42000000004;178,0;27509,299999999996;52,0;6556,5;6;Q3;9;Set
2025-09-08;121-150;Robô;2481,0;393594,06;2260,0;353444,39;218,0;33283,26;71,0;11803,31;6;Q3;9;Set
2025-09-08;151-180;Robô;1064,0;225406,29;972,0;201962,34000000003;95,0;21303,000000000004;19,0;2135,7299999999996;6;Q3;9;Set
2025-09-08;181-360;Robô;5678,0;1428011,18;5214,0;1299605,06;558,0;148707,02000000002;104,0;11423,359999999999;6;Q3;9;Set
2025-09-08;361-720;Robô;8,0;3566,96;2,0;1142,2599999999998;0,0;0,0;0,0;0,0;6;Q3;9;Set
2025-09-08;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6;Q3;9;Set
2025-09-09;Preventivo;Robô;1,0;79,9;1,0;79,9;1,0;79,9;0,0;0,0;7;Q3;9;Set
2025-09-09;0-30;Robô;5055,0;469629,43999999994;4700,0;429805,82999999996;809,0;68657,08;241,0;18917,760000000002;7;Q3;9;Set
2025-09-09;31-60;Robô;1696,0;309053,15;1529,0;254747,72;245,0;39409,96;54,0;8164,48;7;Q3;9;Set
2025-09-09;61-90;Robô;3,0;491,94;3,0;491,94;1,0;372,34;1,0;372,34;7;Q3;9;Set
2025-09-09;91-120;Robô;1887,0;305571,73;1727,0;278852,42000000004;178,0;27509,299999999996;52,0;6556,5;7;Q3;9;Set
2025-09-09;121-150;Robô;2940,0;441349,9700000001;2698,0;398457,38;265,0;39233,15000000001;89,0;13430,529999999999;7;Q3;9;Set
2025-09-09;151-180;Robô;1264,0;251666,30000000002;1149,0;223813,31;113,0;22639,81;27,0;2844,7799999999997;7;Q3;9;Set
2025-09-09;181-360;Robô;7602,0;1878307,35;6951,0;1699214,53;716,0;182994,46000000002;125,0;14176,65;7;Q3;9;Set
2025-09-09;361-720;Robô;11,0;4491,51;3,0;1202,0599999999997;0,0;0,0;0,0;0,0;7;Q3;9;Set
2025-09-09;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7;Q3;9;Set
2025-09-10;Preventivo;Robô;1,0;79,9;1,0;79,9;1,0;79,9;0,0;0,0;8;Q3;9;Set
2025-09-10;0-30;Robô;5055,0;469629,43999999994;4700,0;429805,82999999996;809,0;68657,08;241,0;18917,760000000002;8;Q3;9;Set
2025-09-10;31-60;Robô;1703,0;323026,48000000004;1531,0;258740,1;246,0;41406,149999999994;55,0;10160,67;8;Q3;9;Set
2025-09-10;61-90;Robô;3,0;491,94;3,0;491,94;1,0;372,34;1,0;372,34;8;Q3;9;Set
2025-09-10;91-120;Robô;1888,0;305634,33;1728,0;278915,02;178,0;27509,299999999996;52,0;6556,5;8;Q3;9;Set
2025-09-10;121-150;Robô;3923,0;554969,56;3595,0;500333,69;362,0;47733,17;119,0;15975,88;8;Q3;9;Set
2025-09-10;151-180;Robô;1656,0;313292,11;1512,0;281170,24;149,0;28175,619999999995;41,0;3358,7299999999996;8;Q3;9;Set
2025-09-10;181-360;Robô;11462,0;2796868,8;10461,0;2534399,19;1070,0;270361,58999999997;180,0;20653,54;8;Q3;9;Set
2025-09-10;361-720;Robô;13,0;5510,360000000001;3,0;1202,0599999999997;0,0;0,0;0,0;0,0;8;Q3;9;Set
2025-09-10;Maior 720;Robô;2,0;526,4300000000001;0,0;0,0;0,0;0,0;0,0;0,0;8;Q3;9;Set
2025-09-11;Preventivo;Robô;1,0;79,9;1,0;79,9;1,0;79,9;0,0;0,0;9;Q3;9;Set
2025-09-11;0-30;Robô;5125,0;477774,83999999997;4763,0;437344,1;821,0;69269,89;245,0;19044,3;9;Q3;9;Set
2025-09-11;31-60;Robô;4118,0;582263,75;3714,0;492711,75;561,0;72955,45999999999;139,0;18409,8;9;Q3;9;Set
2025-09-11;61-90;Robô;7,0;761,54;7,0;761,54;1,0;372,34;1,0;372,34;9;Q3;9;Set
2025-09-11;91-120;Robô;2120,0;343864,46;1942,0;312927,12;212,0;32236,770000000004;67,0;7802,8099999999995;9;Q3;9;Set
2025-09-11;121-150;Robô;4787,0;672844,5700000001;4379,0;607235,33;433,0;56242,35;139,0;17551,21;9;Q3;9;Set
2025-09-11;151-180;Robô;1980,0;384776,41;1809,0;346241,48;178,0;34440,490000000005;49,0;4496,04;9;Q3;9;Set
2025-09-11;181-360;Robô;12293,0;3058924,76;11205,0;2764729,49;1142,0;290456,1;190,0;21483,760000000002;9;Q3;9;Set
2025-09-11;361-720;Robô;18,0;7462,22;3,0;1202,0599999999997;0,0;0,0;0,0;0,0;9;Q3;9;Set
2025-09-11;Maior 720;Robô;4,0;1450,73;0,0;0,0;0,0;0,0;0,0;0,0;9;Q3;9;Set
2025-09-12;Preventivo;Robô;1,0;79,9;1,0;79,9;1,0;79,9;0,0;0,0;10;Q3;9;Set
2025-09-12;0-30;Robô;5208,0;486852,92;4840,0;444511,68;832,0;70966,67000000001;249,0;19270,089999999997;10;Q3;9;Set
2025-09-12;31-60;Robô;6072,0;805166,12;5476,0;691991,78;795,0;98227,43000000001;196,0;22126,9;10;Q3;9;Set
2025-09-12;61-90;Robô;8,0;854,3199999999999;8,0;854,3199999999999;1,0;372,34;1,0;372,34;10;Q3;9;Set
2025-09-12;91-120;Robô;2295,0;372195,01;2099,0;338865,5;234,0;35150,53;74,0;8529,97;10;Q3;9;Set
2025-09-12;121-150;Robô;5551,0;776564,11;5079,0;703529,04;492,0;64219,22;150,0;18559,42;10;Q3;9;Set
2025-09-12;151-180;Robô;2254,0;444132,87;2053,0;399274,64;205,0;38591,03;58,0;5355,909999999999;10;Q3;9;Set
2025-09-12;181-360;Robô;13116,0;3266067,69;11943,0;2951049,17;1187,0;299790,35;192,0;21666,550000000003;10;Q3;9;Set
2025-09-12;361-720;Robô;20,0;8666,83;3,0;1202,0599999999997;0,0;0,0;0,0;0,0;10;Q3;9;Set
2025-09-12;Maior 720;Robô;5,0;1914,52;0,0;0,0;0,0;0,0;0,0;0,0;10;Q3;9;Set
2025-09-13;Preventivo;Robô;1,0;79,9;1,0;79,9;1,0;79,9;0,0;0,0;10;Q3;9;Set
2025-09-13;0-30;Robô;5235,0;490150,98;4866,0;447584,1;833,0;71026,67000000001;249,0;19270,089999999997;10;Q3;9;Set
2025-09-13;31-60;Robô;6544,0;862541,32;5889,0;733219,73;815,0;99606,16;204,0;22639,26;10;Q3;9;Set
2025-09-13;61-90;Robô;11,0;1262,49;11,0;1262,49;1,0;372,34;1,0;372,34;10;Q3;9;Set
2025-09-13;91-120;Robô;2498,0;395950,39;2286,0;360413,48000000004;242,0;35854,869999999995;76,0;8749,569999999998;10;Q3;9;Set
2025-09-13;121-150;Robô;5710,0;799071,25;5221,0;723867,37;495,0;64330,46000000001;150,0;18559,42;10;Q3;9;Set
2025-09-13;151-180;Robô;2301,0;450736,85;2096,0;405106,89;207,0;38697,149999999994;58,0;5355,909999999999;10;Q3;9;Set
2025-09-13;181-360;Robô;13116,0;3266067,69;11943,0;2951049,17;1187,0;299790,35;192,0;21666,550000000003;10;Q3;9;Set
2025-09-13;361-720;Robô;21,0;9178,73;3,0;1202,0599999999997;0,0;0,0;0,0;0,0;10;Q3;9;Set
2025-09-13;Maior 720;Robô;5,0;1914,52;0,0;0,0;0,0;0,0;0,0;0,0;10;Q3;9;Set
2025-09-15;Preventivo;Robô;61,0;4725,58;25,0;1944,99;18,0;1379,62;17,0;1299,72;11;Q3;9;Set
2025-09-15;0-30;Robô;5270,0;492704,26;4899,0;450040,47;836,0;71322,49;249,0;19270,089999999997;11;Q3;9;Set
2025-09-15;31-60;Robô;7542,0;981775,3400000001;6792,0;841576,8;908,0;111960,08000000002;227,0;25195,0;11;Q3;9;Set
2025-09-15;61-90;Robô;21,0;2790,1300000000006;21,0;2790,1300000000006;2,0;532,14;1,0;372,34;11;Q3;9;Set
2025-09-15;91-120;Robô;2949,0;454617,52;2696,0;412966,86;273,0;38829,56;85,0;9736,349999999997;11;Q3;9;Set
2025-09-15;121-150;Robô;6190,0;870197,02;5656,0;787862,98;524,0;67853,03;156,0;19114,12;11;Q3;9;Set
2025-09-15;151-180;Robô;2424,0;473851,63;2201,0;424915,88;217,0;40634,57;62,0;5738,6399999999985;11;Q3;9;Set
2025-09-15;181-360;Robô;13117,0;3267012,59;11944,0;2951994,07;1187,0;299790,35;192,0;21666,550000000003;11;Q3;9;Set
2025-09-15;361-720;Robô;92,0;47207,95000000001;3,0;1202,0599999999997;0,0;0,0;0,0;0,0;11;Q3;9;Set
2025-09-15;Maior 720;Robô;121,0;36610,61;7,0;2356,67;6,0;1879,6;6,0;1879,6;11;Q3;9;Set
2025-09-16;Preventivo;Robô;102,0;7605,009999999999;37,0;2742,850000000001;29,0;2161,54;28,0;2081,64;12;Q3;9;Set
2025-09-16;0-30;Robô;5534,0;515260,13999999996;5138,0;470481,31999999995;878,0;75446,76000000001;264,0;20592,82;12;Q3;9;Set
2025-09-16;31-60;Robô;7799,0;1018778,2900000002;7032,0;875975,6700000002;931,0;115738,93000000002;237,0;26185,300000000003;12;Q3;9;Set
2025-09-16;61-90;Robô;21,0;2790,1300000000006;21,0;2790,1300000000006;2,0;532,14;1,0;372,34;12;Q3;9;Set
2025-09-16;91-120;Robô;3081,0;474298,24000000005;2813,0;430585,4;282,0;39470,93;87,0;9826,049999999996;12;Q3;9;Set
2025-09-16;121-150;Robô;6308,0;889350,74;5760,0;804517,51;530,0;68328,11;157,0;19143,12;12;Q3;9;Set
2025-09-16;151-180;Robô;2446,0;482862,8;2221,0;432428,75;219,0;41593,47;62,0;5738,6399999999985;12;Q3;9;Set
2025-09-16;181-360;Robô;13117,0;3267012,59;11944,0;2951994,07;1187,0;299790,35;192,0;21666,550000000003;12;Q3;9;Set
2025-09-16;361-720;Robô;270,0;131396,03;12,0;5630,670000000001;5,0;2020,48;5,0;2020,48;12;Q3;9;Set
2025-09-16;Maior 720;Robô;285,0;90281,81;19,0;5660,95;12,0;3223,8700000000003;12,0;3223,8700000000003;12;Q3;9;Set
2025-09-17;Preventivo;Robô;162,0;11438,559999999998;62,0;4141,090000000001;48,0;3337,6400000000003;47,0;3257,7400000000007;13;Q3;9;Set
2025-09-17;0-30;Robô;5906,0;542908,61;5479,0;495878,25;930,0;79407,87;285,0;22015,489999999998;13;Q3;9;Set
2025-09-17;31-60;Robô;8036,0;1052694,9600000002;7245,0;907584,52;959,0;120144,56000000001;240,0;26647,68;13;Q3;9;Set
2025-09-17;61-90;Robô;24,0;3190,75;23,0;2951,0500000000006;3,0;612,04;2,0;452,24;13;Q3;9;Set
2025-09-17;91-120;Robô;3192,0;489673,4;2908,0;443710,48;292,0;40773,63;90,0;10038,939999999999;13;Q3;9;Set
2025-09-17;121-150;Robô;6452,0;911383,74;5893,0;825159,8600000001;542,0;69477,23;161,0;19718,300000000003;13;Q3;9;Set
2025-09-17;151-180;Robô;2471,0;489580,02;2243,0;437547,77;221,0;41703,270000000004;64,0;5848,4400000000005;13;Q3;9;Set
2025-09-17;181-360;Robô;13118,0;3267731,79;11945,0;2952713,2699999996;1187,0;299790,35;192,0;21666,550000000003;13;Q3;9;Set
2025-09-17;361-720;Robô;467,0;235715,16999999998;21,0;8376,609999999999;10,0;3574,1;10,0;3574,1;13;Q3;9;Set
2025-09-17;Maior 720;Robô;291,0;93393,03;20,0;5720,75;13,0;3283,6700000000005;13,0;3283,6700000000005;13;Q3;9;Set
2025-09-18;Preventivo;Robô;198,0;14594,139999999998;74,0;5202,459999999999;58,0;4066,08;57,0;3986,1799999999994;14;Q3;9;Set
2025-09-18;0-30;Robô;5968,0;548172,1;5538,0;500902,04000000004;934,0;79674,2;285,0;22015,489999999998;14;Q3;9;Set
2025-09-18;31-60;Robô;8208,0;1081883,52;7398,0;933475,41;967,0;121859,84000000001;242,0;26707,480000000003;14;Q3;9;Set
2025-09-18;61-90;Robô;27,0;3417,28;24,0;3030,95;3,0;612,04;2,0;452,24;14;Q3;9;Set
2025-09-18;91-120;Robô;3256,0;500423,46;2966,0;453672,80000000005;293,0;40879,59;90,0;10038,939999999999;14;Q3;9;Set
2025-09-18;121-150;Robô;6535,0;924598,3200000001;5964,0;836742,02;545,0;70255,35;162,0;20118,5;14;Q3;9;Set
2025-09-18;151-180;Robô;2499,0;498837,46;2269,0;445716,31;222,0;41763,07;64,0;5848,4400000000005;14;Q3;9;Set
2025-09-18;181-360;Robô;13118,0;3267731,79;11945,0;2952713,2699999996;1187,0;299790,35;192,0;21666,550000000003;14;Q3;9;Set
2025-09-18;361-720;Robô;468,0;236206,86;21,0;8376,609999999999;10,0;3574,1;10,0;3574,1;14;Q3;9;Set
2025-09-18;Maior 720;Robô;291,0;93393,03;20,0;5720,75;13,0;3283,6700000000005;13,0;3283,6700000000005;14;Q3;9;Set
2025-09-19;Preventivo;Robô;198,0;14594,139999999998;74,0;5202,459999999999;58,0;4066,08;57,0;3986,1799999999994;15;Q3;9;Set
2025-09-19;0-30;Robô;5968,0;548172,1;5538,0;500902,04000000004;934,0;79674,2;285,0;22015,489999999998;15;Q3;9;Set
2025-09-19;31-60;Robô;8208,0;1081883,52;7398,0;933475,41;967,0;121859,84000000001;242,0;26707,480000000003;15;Q3;9;Set
2025-09-19;61-90;Robô;27,0;3417,28;24,0;3030,95;3,0;612,04;2,0;452,24;15;Q3;9;Set
2025-09-19;91-120;Robô;3256,0;500423,46;2966,0;453672,80000000005;293,0;40879,59;90,0;10038,939999999999;15;Q3;9;Set
2025-09-19;121-150;Robô;6535,0;924598,3200000001;5964,0;836742,02;545,0;70255,35;162,0;20118,5;15;Q3;9;Set
2025-09-19;151-180;Robô;2499,0;498837,46;2269,0;445716,31;222,0;41763,07;64,0;5848,4400000000005;15;Q3;9;Set
2025-09-19;181-360;Robô;13118,0;3267731,79;11945,0;2952713,2699999996;1187,0;299790,35;192,0;21666,550000000003;15;Q3;9;Set
2025-09-19;361-720;Robô;469,0;236344,02;21,0;8376,609999999999;10,0;3574,1;10,0;3574,1;15;Q3;9;Set
2025-09-19;Maior 720;Robô;291,0;93393,03;20,0;5720,75;13,0;3283,6700000000005;13,0;3283,6700000000005;15;Q3;9;Set
2025-09-20;Preventivo;Robô;198,0;14594,139999999998;74,0;5202,459999999999;58,0;4066,08;57,0;3986,1799999999994;15;Q3;9;Set
2025-09-20;0-30;Robô;5968,0;548172,1;5538,0;500902,04000000004;934,0;79674,2;285,0;22015,489999999998;15;Q3;9;Set
2025-09-20;31-60;Robô;8208,0;1081883,52;7398,0;933475,41;967,0;121859,84000000001;242,0;26707,480000000003;15;Q3;9;Set
2025-09-20;61-90;Robô;27,0;3417,28;24,0;3030,95;3,0;612,04;2,0;452,24;15;Q3;9;Set
2025-09-20;91-120;Robô;3256,0;500423,46;2966,0;453672,80000000005;293,0;40879,59;90,0;10038,939999999999;15;Q3;9;Set
2025-09-20;121-150;Robô;6535,0;924598,3200000001;5964,0;836742,02;545,0;70255,35;162,0;20118,5;15;Q3;9;Set
2025-09-20;151-180;Robô;2499,0;498837,46;2269,0;445716,31;222,0;41763,07;64,0;5848,4400000000005;15;Q3;9;Set
2025-09-20;181-360;Robô;13118,0;3267731,79;11945,0;2952713,2699999996;1187,0;299790,35;192,0;21666,550000000003;15;Q3;9;Set
2025-09-20;361-720;Robô;472,0;237734,72999999998;21,0;8376,609999999999;10,0;3574,1;10,0;3574,1;15;Q3;9;Set
2025-09-20;Maior 720;Robô;291,0;93393,03;20,0;5720,75;13,0;3283,6700000000005;13,0;3283,6700000000005;15;Q3;9;Set
2025-09-22;Preventivo;Robô;211,0;15267,559999999998;80,0;5480,3;64,0;4343,92;63,0;4264,019999999999;16;Q3;9;Set
2025-09-22;0-30;Robô;5968,0;548172,1;5538,0;500902,04000000004;934,0;79674,2;285,0;22015,489999999998;16;Q3;9;Set
2025-09-22;31-60;Robô;8208,0;1081883,52;7398,0;933475,41;967,0;121859,84000000001;242,0;26707,480000000003;16;Q3;9;Set
2025-09-22;61-90;Robô;27,0;3417,28;24,0;3030,95;3,0;612,04;2,0;452,24;16;Q3;9;Set
2025-09-22;91-120;Robô;3256,0;500423,46;2966,0;453672,80000000005;293,0;40879,59;90,0;10038,939999999999;16;Q3;9;Set
