DATA;FX_ATRASO;ORIGEM;ACIONAMENTOS;VALORPRIN_FIN_ACIONAMENTOS;CPC;VALORPRIN_FIN_CPC;CPCA;VALORPRIN_FIN_CPCA;PROMESSA;VALORPRIN_FIN_PROMESSA;nr_dia_util;quartil;dt_mes;mes_abreviado
2025-09-01;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;Q3;9;Set
2025-09-01;0-30;Robô;1399,0;130132,04;1331,0;123180,2;274,0;21972,379999999997;103,0;7527,739999999997;1;Q3;9;Set
2025-09-01;31-60;Robô;363,0;65067,3;333,0;57951,43;51,0;8410,76;12,0;1249,04;1;Q3;9;Set
2025-09-01;61-90;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;Q3;9;Set
2025-09-01;91-120;Robô;500,0;80314,67000000001;467,0;74681,12;52,0;7072,999999999999;11,0;1575,7599999999998;1;Q3;9;Set
2025-09-01;121-150;Robô;315,0;59546,92;284,0;54704,72;26,0;4039,1900000000005;9,0;1171,1299999999999;1;Q3;9;Set
2025-09-01;151-180;Robô;175,0;46401,34000000001;159,0;41928,92;20,0;5980,259999999999;2,0;227,2;1;Q3;9;Set
2025-09-01;181-360;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;Q3;9;Set
2025-09-01;361-720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;Q3;9;Set
2025-09-01;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;Q3;9;Set
2025-09-02;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2;Q3;9;Set
2025-09-02;0-30;Robô;2361,0;209030,19999999998;2218,0;193927,02;460,0;36744,2;164,0;11726,48;2;Q3;9;Set
2025-09-02;31-60;Robô;638,0;108827,66999999998;588,0;98039,51000000001;108,0;16973,199999999997;25,0;3034,18;2;Q3;9;Set
2025-09-02;61-90;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2;Q3;9;Set
2025-09-02;91-120;Robô;741,0;114225,72;701,0;106561,18000000001;85,0;11209,16;22,0;2919,390000000001;2;Q3;9;Set
2025-09-02;121-150;Robô;544,0;106085,53999999998;500,0;96660,04000000001;67,0;10435,13;25,0;2607,54;2;Q3;9;Set
2025-09-02;151-180;Robô;294,0;69038,98000000001;270,0;62468,2;34,0;9266,859999999999;5,0;1265,9999999999998;2;Q3;9;Set
2025-09-02;181-360;Robô;1,0;59,8;0,0;0,0;0,0;0,0;0,0;0,0;2;Q3;9;Set
2025-09-02;361-720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2;Q3;9;Set
2025-09-02;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2;Q3;9;Set
2025-09-03;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-03;0-30;Robô;3132,0;277308,27;2949,0;259929,99;633,0;51516,84;211,0;15229,9;3;Q3;9;Set
2025-09-03;31-60;Robô;871,0;141328,73;807,0;129318,07999999999;164,0;23543,9;44,0;4887,649999999999;3;Q3;9;Set
2025-09-03;61-90;Robô;1,0;372,34;1,0;372,34;1,0;372,34;1,0;372,34;3;Q3;9;Set
2025-09-03;91-120;Robô;965,0;145681,07;910,0;136083,13;133,0;18570,9;42,0;5025,160000000001;3;Q3;9;Set
2025-09-03;121-150;Robô;729,0;138468,15;665,0;123475,68000000001;87,0;14119,499999999996;32,0;3887,34;3;Q3;9;Set
2025-09-03;151-180;Robô;375,0;87060,66;349,0;78187,67;43,0;11181,66;5,0;1265,9999999999998;3;Q3;9;Set
2025-09-03;181-360;Robô;1,0;59,8;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-03;361-720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-03;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-04;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-04;0-30;Robô;3705,0;336983,73;3493,0;315759,63;757,0;63527,59999999999;241,0;18917,76;4;Q3;9;Set
2025-09-04;31-60;Robô;1016,0;164422,22000000003;945,0;150031,41;205,0;29204,28;53,0;6168,29;4;Q3;9;Set
2025-09-04;61-90;Robô;3,0;491,94;3,0;491,94;1,0;372,34;1,0;372,34;4;Q3;9;Set
2025-09-04;91-120;Robô;1132,0;171930,15999999997;1068,0;161195,09;162,0;25160,829999999998;51,0;6452,900000000001;4;Q3;9;Set
2025-09-04;121-150;Robô;931,0;170496,16;855,0;154685,11;120,0;20077,21;47,0;8653,259999999997;4;Q3;9;Set
2025-09-04;151-180;Robô;507,0;107211,75;472,0;97165,17000000001;68,0;17157,239999999994;14,0;1679,32;4;Q3;9;Set
2025-09-04;181-360;Robô;915,0;192336,3;848,0;177560,25;107,0;27328,54;19,0;3382,6499999999996;4;Q3;9;Set
2025-09-04;361-720;Robô;3,0;882,98;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-04;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-05;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-05;0-30;Robô;3704,0;336953,83;3493,0;315759,63;757,0;63527,59999999999;241,0;18917,76;5;Q3;9;Set
2025-09-05;31-60;Robô;1016,0;164422,22000000003;945,0;150031,41;205,0;29204,28;53,0;6168,29;5;Q3;9;Set
2025-09-05;61-90;Robô;3,0;491,94;3,0;491,94;1,0;372,34;1,0;372,34;5;Q3;9;Set
