DATA_ACIONA;FX_ATRASO;ORIGEM;CPFs_Únicos;nr_dia_util;quartil;dt_mes;mes_abreviado
2025-09-01;Preventivo;Humano;0;;;;
2025-09-01;Preventivo;Robô;0;;;;
2025-09-01;0-30;Humano;1;1,0;Q3;9,0;Set
2025-09-01;0-30;Robô;7;1,0;Q3;9,0;Set
2025-09-01;31-60;Humano;0;;;;
2025-09-01;31-60;Robô;1;1,0;Q3;9,0;Set
2025-09-01;61-90;Humano;0;;;;
2025-09-01;61-90;Robô;0;;;;
2025-09-01;91-120;Humano;0;;;;
2025-09-01;91-120;Robô;4;1,0;Q3;9,0;Set
2025-09-01;121-150;Humano;1;1,0;Q3;9,0;Set
2025-09-01;121-150;Robô;8;1,0;Q3;9,0;Set
2025-09-01;151-180;Humano;4;1,0;Q3;9,0;Set
2025-09-01;151-180;Robô;4;1,0;Q3;9,0;Set
2025-09-01;181-360;Humano;84;1,0;Q3;9,0;Set
2025-09-01;181-360;Robô;0;;;;
2025-09-01;361-720;Humano;148;1,0;Q3;9,0;Set
2025-09-01;361-720;Robô;0;;;;
2025-09-01;Maior 720;Humano;0;;;;
2025-09-01;Maior 720;Robô;0;;;;
2025-09-02;Preventivo;Humano;0;;;;
2025-09-02;Preventivo;Robô;0;;;;
2025-09-02;0-30;Humano;1;2,0;Q3;9,0;Set
2025-09-02;0-30;Robô;9;2,0;Q3;9,0;Set
2025-09-02;31-60;Humano;0;;;;
2025-09-02;31-60;Robô;0;;;;
2025-09-02;61-90;Humano;0;;;;
2025-09-02;61-90;Robô;0;;;;
2025-09-02;91-120;Humano;0;;;;
2025-09-02;91-120;Robô;0;;;;
2025-09-02;121-150;Humano;8;2,0;Q3;9,0;Set
2025-09-02;121-150;Robô;2;2,0;Q3;9,0;Set
2025-09-02;151-180;Humano;6;2,0;Q3;9,0;Set
2025-09-02;151-180;Robô;4;2,0;Q3;9,0;Set
2025-09-02;181-360;Humano;132;2,0;Q3;9,0;Set
2025-09-02;181-360;Robô;0;;;;
2025-09-02;361-720;Humano;36;2,0;Q3;9,0;Set
2025-09-02;361-720;Robô;0;;;;
2025-09-02;Maior 720;Humano;0;;;;
2025-09-02;Maior 720;Robô;0;;;;
2025-09-03;Preventivo;Humano;0;;;;
2025-09-03;Preventivo;Robô;0;;;;
2025-09-03;0-30;Humano;0;;;;
2025-09-03;0-30;Robô;2;3,0;Q3;9,0;Set
2025-09-03;31-60;Humano;0;;;;
2025-09-03;31-60;Robô;1;3,0;Q3;9,0;Set
2025-09-03;61-90;Humano;0;;;;
2025-09-03;61-90;Robô;0;;;;
2025-09-03;91-120;Humano;0;;;;
2025-09-03;91-120;Robô;7;3,0;Q3;9,0;Set
2025-09-03;121-150;Humano;2;3,0;Q3;9,0;Set
2025-09-03;121-150;Robô;7;3,0;Q3;9,0;Set
2025-09-03;151-180;Humano;1;3,0;Q3;9,0;Set
2025-09-03;151-180;Robô;4;3,0;Q3;9,0;Set
2025-09-03;181-360;Humano;29;3,0;Q3;9,0;Set
2025-09-03;181-360;Robô;0;;;;
2025-09-03;361-720;Humano;110;3,0;Q3;9,0;Set
2025-09-03;361-720;Robô;0;;;;
2025-09-03;Maior 720;Humano;0;;;;
2025-09-03;Maior 720;Robô;0;;;;
2025-09-04;Preventivo;Humano;0;;;;
2025-09-04;Preventivo;Robô;0;;;;
2025-09-04;0-30;Humano;0;;;;
2025-09-04;0-30;Robô;9;4,0;Q3;9,0;Set
2025-09-04;31-60;Humano;0;;;;
2025-09-04;31-60;Robô;2;4,0;Q3;9,0;Set
2025-09-04;61-90;Humano;0;;;;
2025-09-04;61-90;Robô;0;;;;
2025-09-04;91-120;Humano;0;;;;
2025-09-04;91-120;Robô;102;4,0;Q3;9,0;Set
2025-09-04;121-150;Humano;15;4,0;Q3;9,0;Set
2025-09-04;121-150;Robô;23;4,0;Q3;9,0;Set
2025-09-04;151-180;Humano;8;4,0;Q3;9,0;Set
2025-09-04;151-180;Robô;21;4,0;Q3;9,0;Set
2025-09-04;181-360;Humano;121;4,0;Q3;9,0;Set
2025-09-04;181-360;Robô;34;4,0;Q3;9,0;Set
2025-09-04;361-720;Humano;145;4,0;Q3;9,0;Set
2025-09-04;361-720;Robô;0;;;;
2025-09-04;Maior 720;Humano;0;;;;
2025-09-04;Maior 720;Robô;0;;;;
2025-09-05;Preventivo;Humano;0;;;;
2025-09-05;Preventivo;Robô;0;;;;
2025-09-05;0-30;Humano;0;;;;
2025-09-05;0-30;Robô;0;;;;
2025-09-05;31-60;Humano;0;;;;
2025-09-05;31-60;Robô;0;;;;
2025-09-05;61-90;Humano;0;;;;
2025-09-05;61-90;Robô;0;;;;
2025-09-05;91-120;Humano;0;;;;
2025-09-05;91-120;Robô;0;;;;
2025-09-05;121-150;Humano;10;5,0;Q3;9,0;Set
2025-09-05;121-150;Robô;9;5,0;Q3;9,0;Set
2025-09-05;151-180;Humano;0;;;;
2025-09-05;151-180;Robô;0;;;;
2025-09-05;181-360;Humano;83;5,0;Q3;9,0;Set
2025-09-05;181-360;Robô;48;5,0;Q3;9,0;Set
2025-09-05;361-720;Humano;124;5,0;Q3;9,0;Set
2025-09-05;361-720;Robô;0;;;;
2025-09-05;Maior 720;Humano;0;;;;
2025-09-05;Maior 720;Robô;0;;;;
2025-09-09;Preventivo;Humano;0;;;;
2025-09-09;Preventivo;Robô;0;;;;
2025-09-09;0-30;Humano;0;;;;
2025-09-09;0-30;Robô;0;;;;
2025-09-09;31-60;Humano;0;;;;
2025-09-09;31-60;Robô;0;;;;
2025-09-09;61-90;Humano;0;;;;
2025-09-09;61-90;Robô;0;;;;
2025-09-09;91-120;Humano;0;;;;
2025-09-09;91-120;Robô;0;;;;
2025-09-09;121-150;Humano;6;7,0;Q3;9,0;Set
2025-09-09;121-150;Robô;4;7,0;Q3;9,0;Set
2025-09-09;151-180;Humano;1;7,0;Q3;9,0;Set
2025-09-09;151-180;Robô;6;7,0;Q3;9,0;Set
2025-09-09;181-360;Humano;34;7,0;Q3;9,0;Set
2025-09-09;181-360;Robô;82;7,0;Q3;9,0;Set
2025-09-09;361-720;Humano;156;7,0;Q3;9,0;Set
2025-09-09;361-720;Robô;0;;;;
2025-09-09;Maior 720;Humano;0;;;;
2025-09-09;Maior 720;Robô;0;;;;
2025-09-10;Preventivo;Humano;0;;;;
2025-09-10;Preventivo;Robô;0;;;;
2025-09-10;0-30;Humano;0;;;;
2025-09-10;0-30;Robô;0;;;;
2025-09-10;31-60;Humano;0;;;;
2025-09-10;31-60;Robô;0;;;;
2025-09-10;61-90;Humano;0;;;;
2025-09-10;61-90;Robô;0;;;;
2025-09-10;91-120;Humano;0;;;;
2025-09-10;91-120;Robô;0;;;;
2025-09-10;121-150;Humano;0;;;;
2025-09-10;121-150;Robô;37;8,0;Q3;9,0;Set
2025-09-10;151-180;Humano;0;;;;
2025-09-10;151-180;Robô;5;8,0;Q3;9,0;Set
2025-09-10;181-360;Humano;0;;;;
2025-09-10;181-360;Robô;43;8,0;Q3;9,0;Set
2025-09-10;361-720;Humano;172;8,0;Q3;9,0;Set
2025-09-10;361-720;Robô;0;;;;
2025-09-10;Maior 720;Humano;52;8,0;Q3;9,0;Set
2025-09-10;Maior 720;Robô;0;;;;
2025-09-11;Preventivo;Humano;0;;;;
2025-09-11;Preventivo;Robô;0;;;;
2025-09-11;0-30;Humano;0;;;;
2025-09-11;0-30;Robô;0;;;;
2025-09-11;31-60;Humano;0;;;;
2025-09-11;31-60;Robô;5;9,0;Q3;9,0;Set
2025-09-11;61-90;Humano;0;;;;
2025-09-11;61-90;Robô;0;;;;
2025-09-11;91-120;Humano;0;;;;
2025-09-11;91-120;Robô;8;9,0;Q3;9,0;Set
2025-09-11;121-150;Humano;0;;;;
2025-09-11;121-150;Robô;10;9,0;Q3;9,0;Set
2025-09-11;151-180;Humano;0;;;;
2025-09-11;151-180;Robô;1;9,0;Q3;9,0;Set
2025-09-11;181-360;Humano;0;;;;
2025-09-11;181-360;Robô;26;9,0;Q3;9,0;Set
2025-09-11;361-720;Humano;161;9,0;Q3;9,0;Set
2025-09-11;361-720;Robô;0;;;;
2025-09-11;Maior 720;Humano;13;9,0;Q3;9,0;Set
2025-09-11;Maior 720;Robô;0;;;;
2025-09-12;Preventivo;Humano;0;;;;
2025-09-12;Preventivo;Robô;0;;;;
2025-09-12;0-30;Humano;0;;;;
2025-09-12;0-30;Robô;0;;;;
2025-09-12;31-60;Humano;0;;;;
2025-09-12;31-60;Robô;9;10,0;Q3;9,0;Set
2025-09-12;61-90;Humano;0;;;;
2025-09-12;61-90;Robô;0;;;;
2025-09-12;91-120;Humano;0;;;;
2025-09-12;91-120;Robô;1;10,0;Q3;9,0;Set
2025-09-12;121-150;Humano;0;;;;
2025-09-12;121-150;Robô;3;10,0;Q3;9,0;Set
2025-09-12;151-180;Humano;0;;;;
2025-09-12;151-180;Robô;1;10,0;Q3;9,0;Set
2025-09-12;181-360;Humano;0;;;;
2025-09-12;181-360;Robô;14;10,0;Q3;9,0;Set
2025-09-12;361-720;Humano;243;10,0;Q3;9,0;Set
2025-09-12;361-720;Robô;0;;;;
2025-09-12;Maior 720;Humano;26;10,0;Q3;9,0;Set
2025-09-12;Maior 720;Robô;0;;;;
2025-09-13;Preventivo;Humano;0;;;;
2025-09-13;Preventivo;Robô;0;;;;
2025-09-13;0-30;Humano;0;;;;
2025-09-13;0-30;Robô;0;;;;
2025-09-13;31-60;Humano;0;;;;
2025-09-13;31-60;Robô;1;10,0;Q3;9,0;Set
2025-09-13;61-90;Humano;0;;;;
2025-09-13;61-90;Robô;0;;;;
2025-09-13;91-120;Humano;0;;;;
2025-09-13;91-120;Robô;0;;;;
2025-09-13;121-150;Humano;0;;;;
2025-09-13;121-150;Robô;0;;;;
2025-09-13;151-180;Humano;0;;;;
2025-09-13;151-180;Robô;0;;;;
2025-09-13;181-360;Humano;0;;;;
2025-09-13;181-360;Robô;0;;;;
2025-09-13;361-720;Humano;64;10,0;Q3;9,0;Set
2025-09-13;361-720;Robô;0;;;;
2025-09-13;Maior 720;Humano;0;;;;
2025-09-13;Maior 720;Robô;0;;;;
2025-09-15;Preventivo;Humano;1;11,0;Q3;9,0;Set
2025-09-15;Preventivo;Robô;0;;;;
2025-09-15;0-30;Humano;0;;;;
2025-09-15;0-30;Robô;0;;;;
2025-09-15;31-60;Humano;0;;;;
2025-09-15;31-60;Robô;5;11,0;Q3;9,0;Set
2025-09-15;61-90;Humano;0;;;;
2025-09-15;61-90;Robô;0;;;;
2025-09-15;91-120;Humano;0;;;;
2025-09-15;91-120;Robô;2;11,0;Q3;9,0;Set
2025-09-15;121-150;Humano;0;;;;
2025-09-15;121-150;Robô;8;11,0;Q3;9,0;Set
2025-09-15;151-180;Humano;0;;;;
2025-09-15;151-180;Robô;0;;;;
2025-09-15;181-360;Humano;0;;;;
2025-09-15;181-360;Robô;0;;;;
2025-09-15;361-720;Humano;251;11,0;Q3;9,0;Set
2025-09-15;361-720;Robô;0;;;;
2025-09-15;Maior 720;Humano;3;11,0;Q3;9,0;Set
2025-09-15;Maior 720;Robô;0;;;;
2025-09-16;Preventivo;Humano;11;12,0;Q3;9,0;Set
2025-09-16;Preventivo;Robô;0;;;;
2025-09-16;0-30;Humano;3;12,0;Q3;9,0;Set
2025-09-16;0-30;Robô;4;12,0;Q3;9,0;Set
2025-09-16;31-60;Humano;1;12,0;Q3;9,0;Set
2025-09-16;31-60;Robô;1;12,0;Q3;9,0;Set
2025-09-16;61-90;Humano;0;;;;
2025-09-16;61-90;Robô;0;;;;
2025-09-16;91-120;Humano;0;;;;
2025-09-16;91-120;Robô;0;;;;
2025-09-16;121-150;Humano;0;;;;
2025-09-16;121-150;Robô;1;12,0;Q3;9,0;Set
2025-09-16;151-180;Humano;0;;;;
2025-09-16;151-180;Robô;2;12,0;Q3;9,0;Set
2025-09-16;181-360;Humano;0;;;;
2025-09-16;181-360;Robô;0;;;;
2025-09-16;361-720;Humano;230;12,0;Q3;9,0;Set
2025-09-16;361-720;Robô;0;;;;
2025-09-16;Maior 720;Humano;15;12,0;Q3;9,0;Set
2025-09-16;Maior 720;Robô;0;;;;
2025-09-17;Preventivo;Humano;0;;;;
2025-09-17;Preventivo;Robô;0;;;;
2025-09-17;0-30;Humano;1;13,0;Q3;9,0;Set
2025-09-17;0-30;Robô;4;13,0;Q3;9,0;Set
2025-09-17;31-60;Humano;0;;;;
2025-09-17;31-60;Robô;3;13,0;Q3;9,0;Set
2025-09-17;61-90;Humano;0;;;;
2025-09-17;61-90;Robô;0;;;;
2025-09-17;91-120;Humano;0;;;;
2025-09-17;91-120;Robô;1;13,0;Q3;9,0;Set
2025-09-17;121-150;Humano;0;;;;
2025-09-17;121-150;Robô;0;;;;
2025-09-17;151-180;Humano;0;;;;
2025-09-17;151-180;Robô;0;;;;
2025-09-17;181-360;Humano;0;;;;
2025-09-17;181-360;Robô;0;;;;
2025-09-17;361-720;Humano;191;13,0;Q3;9,0;Set
2025-09-17;361-720;Robô;0;;;;
2025-09-17;Maior 720;Humano;19;13,0;Q3;9,0;Set
2025-09-17;Maior 720;Robô;0;;;;
2025-09-18;Preventivo;Humano;4;14,0;Q3;9,0;Set
2025-09-18;Preventivo;Robô;0;;;;
2025-09-18;0-30;Humano;0;;;;
2025-09-18;0-30;Robô;1;14,0;Q3;9,0;Set
2025-09-18;31-60;Humano;0;;;;
2025-09-18;31-60;Robô;3;14,0;Q3;9,0;Set
2025-09-18;61-90;Humano;0;;;;
2025-09-18;61-90;Robô;0;;;;
2025-09-18;91-120;Humano;0;;;;
2025-09-18;91-120;Robô;2;14,0;Q3;9,0;Set
2025-09-18;121-150;Humano;0;;;;
2025-09-18;121-150;Robô;1;14,0;Q3;9,0;Set
2025-09-18;151-180;Humano;0;;;;
2025-09-18;151-180;Robô;0;;;;
2025-09-18;181-360;Humano;0;;;;
2025-09-18;181-360;Robô;0;;;;
2025-09-18;361-720;Humano;128;14,0;Q3;9,0;Set
2025-09-18;361-720;Robô;0;;;;
2025-09-18;Maior 720;Humano;5;14,0;Q3;9,0;Set
2025-09-18;Maior 720;Robô;0;;;;
2025-09-19;Preventivo;Humano;0;;;;
2025-09-19;Preventivo;Robô;0;;;;
2025-09-19;0-30;Humano;0;;;;
2025-09-19;0-30;Robô;0;;;;
2025-09-19;31-60;Humano;0;;;;
2025-09-19;31-60;Robô;0;;;;
2025-09-19;61-90;Humano;0;;;;
2025-09-19;61-90;Robô;0;;;;
2025-09-19;91-120;Humano;0;;;;
2025-09-19;91-120;Robô;0;;;;
2025-09-19;121-150;Humano;0;;;;
2025-09-19;121-150;Robô;0;;;;
2025-09-19;151-180;Humano;0;;;;
2025-09-19;151-180;Robô;0;;;;
2025-09-19;181-360;Humano;1;15,0;Q3;9,0;Set
2025-09-19;181-360;Robô;0;;;;
2025-09-19;361-720;Humano;95;15,0;Q3;9,0;Set
2025-09-19;361-720;Robô;0;;;;
2025-09-19;Maior 720;Humano;7;15,0;Q3;9,0;Set
2025-09-19;Maior 720;Robô;0;;;;
2025-09-20;Preventivo;Humano;0;;;;
2025-09-20;Preventivo;Robô;0;;;;
2025-09-20;0-30;Humano;0;;;;
2025-09-20;0-30;Robô;0;;;;
2025-09-20;31-60;Humano;0;;;;
2025-09-20;31-60;Robô;0;;;;
2025-09-20;61-90;Humano;0;;;;
2025-09-20;61-90;Robô;0;;;;
2025-09-20;91-120;Humano;0;;;;
2025-09-20;91-120;Robô;0;;;;
2025-09-20;121-150;Humano;0;;;;
2025-09-20;121-150;Robô;0;;;;
2025-09-20;151-180;Humano;0;;;;
2025-09-20;151-180;Robô;0;;;;
2025-09-20;181-360;Humano;0;;;;
2025-09-20;181-360;Robô;0;;;;
2025-09-20;361-720;Humano;68;15,0;Q3;9,0;Set
2025-09-20;361-720;Robô;0;;;;
2025-09-20;Maior 720;Humano;0;;;;
2025-09-20;Maior 720;Robô;0;;;;
2025-09-22;Preventivo;Humano;5;16,0;Q3;9,0;Set
2025-09-22;Preventivo;Robô;0;;;;
2025-09-22;0-30;Humano;0;;;;
2025-09-22;0-30;Robô;0;;;;
2025-09-22;31-60;Humano;0;;;;
2025-09-22;31-60;Robô;0;;;;
2025-09-22;61-90;Humano;0;;;;
2025-09-22;61-90;Robô;0;;;;
2025-09-22;91-120;Humano;0;;;;
2025-09-22;91-120;Robô;0;;;;
2025-09-22;121-150;Humano;0;;;;
2025-09-22;121-150;Robô;0;;;;
2025-09-22;151-180;Humano;0;;;;
2025-09-22;151-180;Robô;0;;;;
2025-09-22;181-360;Humano;0;;;;
2025-09-22;181-360;Robô;0;;;;
2025-09-22;361-720;Humano;127;16,0;Q3;9,0;Set
2025-09-22;361-720;Robô;0;;;;
2025-09-22;Maior 720;Humano;0;;;;
2025-09-22;Maior 720;Robô;0;;;;
2025-09-23;Preventivo;Humano;0;;;;
2025-09-23;Preventivo;Robô;0;;;;
2025-09-23;0-30;Humano;0;;;;
2025-09-23;0-30;Robô;0;;;;
2025-09-23;31-60;Humano;0;;;;
2025-09-23;31-60;Robô;0;;;;
2025-09-23;61-90;Humano;0;;;;
2025-09-23;61-90;Robô;0;;;;
2025-09-23;91-120;Humano;0;;;;
2025-09-23;91-120;Robô;0;;;;
2025-09-23;121-150;Humano;0;;;;
2025-09-23;121-150;Robô;0;;;;
2025-09-23;151-180;Humano;0;;;;
2025-09-23;151-180;Robô;0;;;;
2025-09-23;181-360;Humano;0;;;;
2025-09-23;181-360;Robô;0;;;;
2025-09-23;361-720;Humano;36;17,0;Q3;9,0;Set
2025-09-23;361-720;Robô;0;;;;
2025-09-23;Maior 720;Humano;0;;;;
2025-09-23;Maior 720;Robô;0;;;;
2025-09-24;Preventivo;Humano;0;;;;
2025-09-24;Preventivo;Robô;0;;;;
2025-09-24;0-30;Humano;0;;;;
2025-09-24;0-30;Robô;0;;;;
2025-09-24;31-60;Humano;0;;;;
2025-09-24;31-60;Robô;0;;;;
2025-09-24;61-90;Humano;0;;;;
2025-09-24;61-90;Robô;0;;;;
2025-09-24;91-120;Humano;0;;;;
2025-09-24;91-120;Robô;0;;;;
2025-09-24;121-150;Humano;0;;;;
2025-09-24;121-150;Robô;0;;;;
2025-09-24;151-180;Humano;0;;;;
2025-09-24;151-180;Robô;0;;;;
2025-09-24;181-360;Humano;0;;;;
2025-09-24;181-360;Robô;0;;;;
2025-09-24;361-720;Humano;121;18,0;Q3;9,0;Set
2025-09-24;361-720;Robô;0;;;;
2025-09-24;Maior 720;Humano;0;;;;
2025-09-24;Maior 720;Robô;0;;;;
2025-09-25;Preventivo;Humano;0;;;;
2025-09-25;Preventivo;Robô;0;;;;
2025-09-25;0-30;Humano;12;19,0;Q3;9,0;Set
2025-09-25;0-30;Robô;0;;;;
2025-09-25;31-60;Humano;42;19,0;Q3;9,0;Set
2025-09-25;31-60;Robô;0;;;;
2025-09-25;61-90;Humano;9;19,0;Q3;9,0;Set
2025-09-25;61-90;Robô;0;;;;
2025-09-25;91-120;Humano;15;19,0;Q3;9,0;Set
2025-09-25;91-120;Robô;0;;;;
2025-09-25;121-150;Humano;23;19,0;Q3;9,0;Set
2025-09-25;121-150;Robô;0;;;;
2025-09-25;151-180;Humano;16;19,0;Q3;9,0;Set
2025-09-25;151-180;Robô;0;;;;
2025-09-25;181-360;Humano;0;;;;
2025-09-25;181-360;Robô;0;;;;
2025-09-25;361-720;Humano;12;19,0;Q3;9,0;Set
2025-09-25;361-720;Robô;0;;;;
2025-09-25;Maior 720;Humano;0;;;;
2025-09-25;Maior 720;Robô;0;;;;
2025-09-26;Preventivo;Humano;0;;;;
2025-09-26;Preventivo;Robô;0;;;;
2025-09-26;0-30;Humano;7;20,0;Q3;9,0;Set
2025-09-26;0-30;Robô;0;;;;
2025-09-26;31-60;Humano;20;20,0;Q3;9,0;Set
2025-09-26;31-60;Robô;0;;;;
2025-09-26;61-90;Humano;11;20,0;Q3;9,0;Set
2025-09-26;61-90;Robô;0;;;;
2025-09-26;91-120;Humano;9;20,0;Q3;9,0;Set
2025-09-26;91-120;Robô;0;;;;
2025-09-26;121-150;Humano;10;20,0;Q3;9,0;Set
2025-09-26;121-150;Robô;0;;;;
2025-09-26;151-180;Humano;6;20,0;Q3;9,0;Set
2025-09-26;151-180;Robô;0;;;;
2025-09-26;181-360;Humano;0;;;;
2025-09-26;181-360;Robô;0;;;;
2025-09-26;361-720;Humano;49;20,0;Q3;9,0;Set
2025-09-26;361-720;Robô;0;;;;
2025-09-26;Maior 720;Humano;0;;;;
2025-09-26;Maior 720;Robô;0;;;;
2025-09-27;Preventivo;Humano;0;;;;
2025-09-27;Preventivo;Robô;0;;;;
2025-09-27;0-30;Humano;0;;;;
2025-09-27;0-30;Robô;0;;;;
2025-09-27;31-60;Humano;0;;;;
2025-09-27;31-60;Robô;0;;;;
2025-09-27;61-90;Humano;0;;;;
2025-09-27;61-90;Robô;0;;;;
2025-09-27;91-120;Humano;8;20,0;Q3;9,0;Set
2025-09-27;91-120;Robô;0;;;;
2025-09-27;121-150;Humano;3;20,0;Q3;9,0;Set
2025-09-27;121-150;Robô;0;;;;
2025-09-27;151-180;Humano;5;20,0;Q3;9,0;Set
2025-09-27;151-180;Robô;0;;;;
2025-09-27;181-360;Humano;3;20,0;Q3;9,0;Set
2025-09-27;181-360;Robô;0;;;;
2025-09-27;361-720;Humano;79;20,0;Q3;9,0;Set
2025-09-27;361-720;Robô;0;;;;
2025-09-27;Maior 720;Humano;0;;;;
2025-09-27;Maior 720;Robô;0;;;;
2025-09-29;Preventivo;Humano;0;;;;
2025-09-29;Preventivo;Robô;0;;;;
2025-09-29;0-30;Humano;11;21,0;Q3;9,0;Set
2025-09-29;0-30;Robô;0;;;;
2025-09-29;31-60;Humano;43;21,0;Q3;9,0;Set
2025-09-29;31-60;Robô;0;;;;
2025-09-29;61-90;Humano;16;21,0;Q3;9,0;Set
2025-09-29;61-90;Robô;0;;;;
2025-09-29;91-120;Humano;10;21,0;Q3;9,0;Set
2025-09-29;91-120;Robô;0;;;;
2025-09-29;121-150;Humano;26;21,0;Q3;9,0;Set
2025-09-29;121-150;Robô;0;;;;
2025-09-29;151-180;Humano;8;21,0;Q3;9,0;Set
2025-09-29;151-180;Robô;0;;;;
2025-09-29;181-360;Humano;0;;;;
2025-09-29;181-360;Robô;0;;;;
2025-09-29;361-720;Humano;34;21,0;Q3;9,0;Set
2025-09-29;361-720;Robô;0;;;;
2025-09-29;Maior 720;Humano;20;21,0;Q3;9,0;Set
2025-09-29;Maior 720;Robô;0;;;;
2025-09-30;Preventivo;Humano;0;;;;
2025-09-30;Preventivo;Robô;0;;;;
2025-09-30;0-30;Humano;6;22,0;Q3;9,0;Set
2025-09-30;0-30;Robô;0;;;;
2025-09-30;31-60;Humano;26;22,0;Q3;9,0;Set
2025-09-30;31-60;Robô;0;;;;
2025-09-30;61-90;Humano;11;22,0;Q3;9,0;Set
2025-09-30;61-90;Robô;0;;;;
2025-09-30;91-120;Humano;9;22,0;Q3;9,0;Set
2025-09-30;91-120;Robô;0;;;;
2025-09-30;121-150;Humano;18;22,0;Q3;9,0;Set
