DATA;Indicador;qte;FX_ATRASO;TIPO_ORIGEM;MesAbreviado;nr_dia_util;quartil;dt_mes;VALOR
2025-09-01;Contrato;581,0;Preventivo;;Set;1;Q3;9;50512,78
2025-09-01;Contrato;40601,0;0-30;;Set;1;Q3;9;3135502,72
2025-09-01;Contrato;10819,0;31-60;;Set;1;Q3;9;1340927,57
2025-09-01;Contrato;8509,0;61-90;;Set;1;Q3;9;3146481,07
2025-09-01;Contrato;11303,0;91-120;;Set;1;Q3;9;2215427,82
2025-09-01;Contrato;15491,0;121-150;;Set;1;Q3;9;3013039,36
2025-09-01;Contrato;10471,0;151-180;;Set;1;Q3;9;3500429,52
2025-09-01;Contrato;49041,0;181-360;;Set;1;Q3;9;18964776,64
2025-09-01;Contrato;63246,0;361-720;;Set;1;Q3;9;30817295,18
2025-09-01;Contrato;10575,0;Maior 720;;Set;1;Q3;9;3247963,18
2025-09-01;CPF;581,0;Preventivo;;Set;1;Q3;9;50512,78
2025-09-01;CPF;40493,0;0-30;;Set;1;Q3;9;3131517,17
2025-09-01;CPF;10817,0;31-60;;Set;1;Q3;9;1340578,97
2025-09-01;CPF;8509,0;61-90;;Set;1;Q3;9;3146481,07
2025-09-01;CPF;11301,0;91-120;;Set;1;Q3;9;2215253,82
2025-09-01;CPF;15491,0;121-150;;Set;1;Q3;9;3013039,36
2025-09-01;CPF;10471,0;151-180;;Set;1;Q3;9;3500429,52
2025-09-01;CPF;48896,0;181-360;;Set;1;Q3;9;18931860,89
2025-09-01;CPF;63162,0;361-720;;Set;1;Q3;9;30725063,64
2025-09-01;CPF;9373,0;Maior 720;;Set;1;Q3;9;2833601,61
2025-09-02;Contrato;978,0;Preventivo;;Set;2;Q3;9;79425,6
2025-09-02;Contrato;41172,0;0-30;;Set;2;Q3;9;3184352,54
2025-09-02;Contrato;11003,0;31-60;;Set;2;Q3;9;1359374,69
2025-09-02;Contrato;8548,0;61-90;;Set;2;Q3;9;3150857,1399999997
2025-09-02;Contrato;11479,0;91-120;;Set;2;Q3;9;2254655,83
2025-09-02;Contrato;15707,0;121-150;;Set;2;Q3;9;3056540,17
2025-09-02;Contrato;11379,0;151-180;;Set;2;Q3;9;3871858,18
2025-09-02;Contrato;49070,0;181-360;;Set;2;Q3;9;18975137,09
2025-09-02;Contrato;63342,0;361-720;;Set;2;Q3;9;30881005,41
2025-09-02;Contrato;10575,0;Maior 720;;Set;2;Q3;9;3247963,18
2025-09-02;CPF;978,0;Preventivo;;Set;2;Q3;9;79425,6
2025-09-02;CPF;41064,0;0-30;;Set;2;Q3;9;3180456,42
2025-09-02;CPF;11001,0;31-60;;Set;2;Q3;9;1359241,83
2025-09-02;CPF;8548,0;61-90;;Set;2;Q3;9;3150857,1399999997
2025-09-02;CPF;11477,0;91-120;;Set;2;Q3;9;2254517,93
2025-09-02;CPF;15707,0;121-150;;Set;2;Q3;9;3056540,17
2025-09-02;CPF;11379,0;151-180;;Set;2;Q3;9;3871858,18
2025-09-02;CPF;48925,0;181-360;;Set;2;Q3;9;18950035,14
2025-09-02;CPF;63258,0;361-720;;Set;2;Q3;9;30860872,02
2025-09-02;CPF;9373,0;Maior 720;;Set;2;Q3;9;2837490,23
2025-09-03;Contrato;1290,0;Preventivo;;Set;3;Q3;9;109742,28
2025-09-03;Contrato;41258,0;0-30;;Set;3;Q3;9;3199942,23
2025-09-03;Contrato;11121,0;31-60;;Set;3;Q3;9;1374889,48
2025-09-03;Contrato;8595,0;61-90;;Set;3;Q3;9;3159782,48
2025-09-03;Contrato;11515,0;91-120;;Set;3;Q3;9;2261302,85
2025-09-03;Contrato;15713,0;121-150;;Set;3;Q3;9;3058397,46
2025-09-03;Contrato;11387,0;151-180;;Set;3;Q3;9;3877232,84
2025-09-03;Contrato;49305,0;181-360;;Set;3;Q3;9;19076599,81
2025-09-03;Contrato;63415,0;361-720;;Set;3;Q3;9;30921954,35
2025-09-03;Contrato;10575,0;Maior 720;;Set;3;Q3;9;3247963,18
2025-09-03;CPF;1290,0;Preventivo;;Set;3;Q3;9;109742,28
2025-09-03;CPF;41149,0;0-30;;Set;3;Q3;9;3195736,2
2025-09-03;CPF;11119,0;31-60;;Set;3;Q3;9;1374756,62
2025-09-03;CPF;8595,0;61-90;;Set;3;Q3;9;3159782,48
2025-09-03;CPF;11513,0;91-120;;Set;3;Q3;9;2261135,95
2025-09-03;CPF;15713,0;121-150;;Set;3;Q3;9;3058397,46
2025-09-03;CPF;11387,0;151-180;;Set;3;Q3;9;3877232,84
2025-09-03;CPF;49160,0;181-360;;Set;3;Q3;9;19058359,18
2025-09-03;CPF;63331,0;361-720;;Set;3;Q3;9;30825910,59
2025-09-03;CPF;9373,0;Maior 720;;Set;3;Q3;9;2832888,47
2025-09-04;Contrato;1575,0;Preventivo;;Set;4;Q3;9;133164,66
2025-09-04;Contrato;42468,0;0-30;;Set;4;Q3;9;3433255,4
2025-09-04;Contrato;11360,0;31-60;;Set;4;Q3;9;1402739,79
2025-09-04;Contrato;8655,0;61-90;;Set;4;Q3;9;3167262,96
2025-09-04;Contrato;15149,0;91-120;;Set;4;Q3;9;3671251,86
2025-09-04;Contrato;15749,0;121-150;;Set;4;Q3;9;3064957,56
2025-09-04;Contrato;11435,0;151-180;;Set;4;Q3;9;3895842,61
2025-09-04;Contrato;49356,0;181-360;;Set;4;Q3;9;19086061,38
2025-09-04;Contrato;70572,0;361-720;;Set;4;Q3;9;34457711,34
2025-09-04;Contrato;10577,0;Maior 720;;Set;4;Q3;9;3248584,77
2025-09-04;CPF;1575,0;Preventivo;;Set;4;Q3;9;133164,66
2025-09-04;CPF;42352,0;0-30;;Set;4;Q3;9;3427824,18
2025-09-04;CPF;11358,0;31-60;;Set;4;Q3;9;1402606,93
2025-09-04;CPF;8655,0;61-90;;Set;4;Q3;9;3167262,96
2025-09-04;CPF;15147,0;91-120;;Set;4;Q3;9;3671113,96
2025-09-04;CPF;15749,0;121-150;;Set;4;Q3;9;3064957,56
2025-09-04;CPF;11435,0;151-180;;Set;4;Q3;9;3895842,61
2025-09-04;CPF;49211,0;181-360;;Set;4;Q3;9;19063782,009999998
2025-09-04;CPF;70472,0;361-720;;Set;4;Q3;9;34357700,1
2025-09-04;CPF;9375,0;Maior 720;;Set;4;Q3;9;2848775,84
2025-09-05;Contrato;1825,0;Preventivo;;Set;5;Q3;9;162488,78
